chromosome	db	type	end5	end3	strand	gene_id	gene_id_up	strand_up	gene_id_down	strand_down
IV	StringTie	transcript	835837	836072	+	MSTRG.114	YDR186C	-	YDR187C	-
IV	StringTie	transcript	892129	892438	-	MSTRG.115	YDR213W	+	YDR214W	+
IV	StringTie	transcript	903819	905115	+	MSTRG.116	YDR218C	-	YDR219C	-
IV	StringTie	transcript	916062	916298	-	MSTRG.117	YDR225W	+	YDR226W	+
IV	StringTie	transcript	968057	969746	+	MSTRG.118	YDR255C	-	YDR257C	-
IV	StringTie	transcript	976292	976694	+	MSTRG.119	YDR259C	-	YDR260C	-
IV	StringTie	transcript	979560	980168	+	MSTRG.120	YDR261C	-	tS(AGA)D2	-
IV	StringTie	transcript	980277	980946	-	MSTRG.121	YDR261C	-	tS(AGA)D2	-
IV	StringTie	transcript	1015967	1017000	-	MSTRG.122	YDR277C	-	YDR278C	-
IV	StringTie	transcript	1017369	1018981	-	MSTRG.123	tE(CUC)D	-	YDR279W	+
IV	StringTie	transcript	1022407	1023045	-	MSTRG.124	YDR281C	-	YDR282C	-
IV	StringTie	transcript	1031937	1032183	+	MSTRG.125	YDR284C	-	YDR285W	+
IV	StringTie	transcript	1080821	1081112	+	MSTRG.126	YDR309C	-	YDR310C	-
IV	StringTie	transcript	1156583	1159387	-	MSTRG.127	YDR342C	-	YDR343C	-
IV	StringTie	transcript	1162432	1162937	+	MSTRG.128	YDR344C	-	YDR345C	-
IV	StringTie	transcript	1165456	1166145	+	MSTRG.129	YDR345C	-	YDR346C	-
IV	StringTie	transcript	1174480	1174889	+	MSTRG.130	YDR349C	-	tM(CAU)D	+
IV	StringTie	transcript	1273588	1273855	+	MSTRG.131	YDR402C	-	YDR403W	+
IV	StringTie	transcript	1273914	1274299	-	MSTRG.132	YDR402C	-	YDR403W	+
IV	StringTie	transcript	1302311	1302612	+	MSTRG.133	YDR418W	+	YDR419W	+
IV	StringTie	transcript	1411566	1411822	+	MSTRG.134	YDR476C	-	YDR477W	+
IV	StringTie	transcript	1459625	1461611	+	MSTRG.135	YDR505C	-	tL(CAA)D	-
IV	StringTie	transcript	1466234	1466452	-	MSTRG.136	YDR507C	-	YDR508C	-
IV	StringTie	transcript	1483712	1485567	+	MSTRG.137	YDR521W	+	NA	NA
IV	StringTie	transcript	1493368	1493758	+	MSTRG.138	snR84	-	YDR528W	+
IV	StringTie	transcript	1500650	1501407	+	MSTRG.139	YDR532C	-	YDR533C	-
IV	StringTie	transcript	1506901	1507403	+	MSTRG.140	YDR535C	-	YDR536W	+
IV	StringTie	transcript	1507754	1509793	-	MSTRG.141	YDR535C	-	YDR537C	-
IV	StringTie	transcript	1514175	1515657	-	MSTRG.142	YDR539W	+	YDR540C	-
IV	StringTie	transcript	1518114	1518314	+	MSTRG.143	YDR540C	-	YDR541C	-
IV	StringTie	transcript	1521095	1522648	+	MSTRG.144	YDR541C	-	YDR542W	+
IX	StringTie	transcript	2295	6948	+	MSTRG.145	YIL177W-A	+	NA	NA
IX	StringTie	transcript	20997	21727	-	MSTRG.146	YIL170W	+	YIL169C	-
IX	StringTie	transcript	22599	23553	+	MSTRG.147	YIL170W	+	NA	NA
IX	StringTie	transcript	29621	30113	+	MSTRG.148	NA	NA	YIL166C	-
IX	StringTie	transcript	34708	37212	+	MSTRG.149	YIL164C	-	YIL162W	+
IX	StringTie	transcript	96815	97094	-	MSTRG.150	YIL134C-A	-	snR68	+
IX	StringTie	transcript	142462	142908	-	MSTRG.151	YIL117C	-	YIL116W	+
IX	StringTie	transcript	173850	174936	+	MSTRG.152	YIL102C-A	-	tT(AGU)I1	+
IX	StringTie	transcript	216152	216504	-	MSTRG.153	YIL077C	-	YIL076W	+
IX	StringTie	transcript	222839	226539	+	MSTRG.154	YIL074C	-	YIL072W	+
IX	StringTie	transcript	222846	226539	+	MSTRG.154	YIL074C	-	YIL072W	+
IX	StringTie	transcript	222846	226539	+	MSTRG.154	YIL074C	-	YIL072W	+
IX	StringTie	transcript	258405	258628	-	MSTRG.155	YIL051C	-	YIL050W	+
IX	StringTie	transcript	261021	261271	-	MSTRG.156	YIL049W	+	YIL048W	+
IX	StringTie	transcript	283145	284821	+	MSTRG.157	YIL037C	-	YIL036W	+
IX	StringTie	transcript	303120	303536	+	MSTRG.158	YIL028W	+	YIL027C	-
IX	StringTie	transcript	337236	338199	-	MSTRG.159	tD(GUC)I2	-	YIL009W	+
IX	StringTie	transcript	357109	357433	+	MSTRG.160	YIR001C	-	NA	NA
IX	StringTie	transcript	386925	388792	+	MSTRG.161	YIR018C-A	-	YIR019C	-
IX	StringTie	transcript	406598	410775	+	MSTRG.162	YIR027C	-	YIR029W	+
IX	StringTie	transcript	424662	425761	-	MSTRG.163	YIR038C	-	NA	NA
IX	StringTie	transcript	426980	429577	-	MSTRG.164	NA	NA	YIR039C	-
IX	StringTie	transcript	432569	433471	+	MSTRG.165	YIR039C	-	YIR041W	+
IX	StringTie	transcript	436386	438175	-	MSTRG.166	YIR042C	-	NA	NA
IX	StringTie	transcript	439119	439801	-	MSTRG.167	NA	NA	NA	NA
Mito	StringTie	transcript	350	1110	+	MSTRG.168	NA	NA	NA	NA
Mito	StringTie	transcript	8739	9113	+	MSTRG.169	Q0020	+	tW(UCA)Q	+
Mito	StringTie	transcript	10578	10910	+	MSTRG.170	tW(UCA)Q	+	Q0032	+
Mito	StringTie	transcript	12108	12893	+	MSTRG.171	Q0032	+	Q0045	+
Mito	StringTie	transcript	31039	31882	+	MSTRG.172	Q0092	+	NA	NA
Mito	StringTie	transcript	32917	33673	+	MSTRG.173	NA	NA	NA	NA
Mito	StringTie	transcript	34039	34565	+	MSTRG.174	NA	NA	tE(UUC)Q	+
Mito	StringTie	transcript	34934	35181	+	MSTRG.175	NA	NA	tE(UUC)Q	+
Mito	StringTie	transcript	35595	36335	+	MSTRG.176	tE(UUC)Q	+	Q0105	+
Mito	StringTie	transcript	43849	45184	+	MSTRG.177	Q0105	+	NA	NA
Mito	StringTie	transcript	45414	45880	+	MSTRG.178	NA	NA	Q0130	+
Mito	StringTie	transcript	50329	50833	+	MSTRG.179	Q0140	+	Q0142	+
Mito	StringTie	transcript	53119	53969	-	MSTRG.180	NA	NA	Q0144	+
Mito	StringTie	transcript	56522	56842	+	MSTRG.181	NA	NA	Q0158	+
Mito	StringTie	transcript	62457	63028	+	MSTRG.182	Q0160	+	tT(UGU)Q1	+
Mito	StringTie	transcript	66785	67009	+	MSTRG.183	tQ(UUG)Q	+	tK(UUU)Q	+
Mito	StringTie	transcript	69846	70117	-	MSTRG.184	tA(UGC)Q	+	tI(GAU)Q	+
Mito	StringTie	transcript	71084	71388	+	MSTRG.185	tY(GUA)Q	+	tN(GUU)Q	+
Mito	StringTie	transcript	73070	73362	+	MSTRG.186	tM(CAU)Q1	+	Q0250	+
Mito	StringTie	transcript	76757	77140	-	MSTRG.187	Q0255	+	tF(GAA)Q	+
Mito	StringTie	transcript	77430	78083	-	MSTRG.188	Q0255	+	tT(UAG)Q2	-
Mito	StringTie	transcript	80289	80710	+	MSTRG.189	Q0275	+	NA	NA
Mito	StringTie	transcript	81316	81604	+	MSTRG.190	Q0275	+	NA	NA
V	StringTie	transcript	7763	8153	+	MSTRG.191	YEL073C	-	NA	NA
V	StringTie	transcript	8316	13341	-	MSTRG.192	YEL073C	-	YEL072W	+
V	StringTie	transcript	14605	16274	-	MSTRG.193	YEL072W	+	YEL071W	+
V	StringTie	transcript	21414	25498	+	MSTRG.194	YEL070W	+	YEL068C	-
V	StringTie	transcript	33815	34367	-	MSTRG.195	YEL063C	-	YEL062W	+
V	StringTie	transcript	46058	46888	-	MSTRG.196	YEL057C	-	YEL056W	+
V	StringTie	transcript	69294	69528	+	MSTRG.197	YEL045C	-	YEL044W	+
V	StringTie	transcript	75658	77587	-	MSTRG.198	YEL042W	+	YEL040W	+
V	StringTie	transcript	99685	100037	+	MSTRG.199	YEL028W	+	tM(CAU)E	+
V	StringTie	transcript	108058	108472	+	MSTRG.200	YEL024W	+	YEL023C	-
V	StringTie	transcript	110588	111077	-	MSTRG.201	YEL023C	-	YEL022W	+
V	StringTie	transcript	131201	131484	+	MSTRG.202	tQ(UUG)E2	-	YEL012W	+
V	StringTie	transcript	152607	153212	+	MSTRG.203	NA	NA	YER001W	+
V	StringTie	transcript	155928	156513	-	MSTRG.204	YER001W	+	YER002W	+
V	StringTie	transcript	173547	173813	+	MSTRG.205	YER010C	-	YER011W	+
V	StringTie	transcript	177156	177634	-	MSTRG.206	tE(UUC)E1	+	YER012W	+
V	StringTie	transcript	186884	188247	-	MSTRG.207	YER015W	+	YER016W	+
V	StringTie	transcript	238385	238915	+	MSTRG.208	YER044C	-	YER045C	-
V	StringTie	transcript	241850	242949	-	MSTRG.209	YER045C	-	YER046W	+
V	StringTie	transcript	258386	259185	.	MSTRG.210	YER052C	-	NA	NA
V	StringTie	transcript	261539	261781	-	MSTRG.211	YER053C-A	-	YER054C	-
V	StringTie	transcript	264123	264471	+	MSTRG.212	YER054C	-	YER055C	-
V	StringTie	transcript	268416	268829	-	MSTRG.213	YER056C	-	YER056C-A	-
V	StringTie	transcript	271161	271633	+	MSTRG.214	YER057C	-	YER058W	+
V	StringTie	transcript	284385	284742	-	MSTRG.215	YER064C	-	YER065C	-
V	StringTie	transcript	287138	287595	+	MSTRG.216	YER065C	-	tS(UGA)E	-
V	StringTie	transcript	288597	290176	-	MSTRG.217	tS(UGA)E	-	YER066W	+
V	StringTie	transcript	290973	291521	-	MSTRG.218	YER066W	+	YER066C-A	-
V	StringTie	transcript	313708	314400	-	MSTRG.219	YER076W-A	+	YER077C	-
V	StringTie	transcript	332889	333104	+	MSTRG.220	YER087C-B	-	YER088C	-
V	StringTie	transcript	353738	354057	+	MSTRG.221	YER096W	+	tE(UUC)E2	+
V	StringTie	transcript	361902	362194	-	MSTRG.222	YER101C	-	YER102W	+
V	StringTie	transcript	363910	364252	-	MSTRG.223	YER102W	+	YER103W	+
V	StringTie	transcript	374817	378051	-	MSTRG.224	YER107W-A	+	YER110C	-
V	StringTie	transcript	416773	417182	+	MSTRG.225	YER128W	+	YER129W	+
V	StringTie	transcript	422991	423920	+	MSTRG.226	YER130C	-	YER131W	+
V	StringTie	transcript	437913	438617	+	MSTRG.227	YER134C	-	tV(AAC)E1	+
V	StringTie	transcript	483259	483864	+	MSTRG.228	YER155C	-	YER157W	+
V	StringTie	transcript	488243	488519	-	MSTRG.229	tE(UUC)E3	-	YER158C	-
V	StringTie	transcript	490683	491412	+	MSTRG.230	YER158C	-	YER158W-A	+
V	StringTie	transcript	500615	501515	+	MSTRG.231	YER161C	-	NA	NA
V	StringTie	transcript	504004	504854	+	MSTRG.232	YER163C	-	YER164W	+
V	StringTie	transcript	548091	549434	-	MSTRG.233	YER178W	+	YER180C	-
V	StringTie	transcript	562961	563348	+	MSTRG.234	YER186C	-	NA	NA
V	StringTie	transcript	564631	566946	-	MSTRG.235	NA	NA	YER188W	+
V	StringTie	transcript	567163	567623	-	MSTRG.236	YER187W	+	YER188W	+
V	StringTie	transcript	570614	570917	+	MSTRG.237	YER188C-A	-	YER189W	+
VI	StringTie	transcript	4	1436	-	MSTRG.238	NA	NA	YFL066C	-
VI	StringTie	transcript	2143	4980	+	MSTRG.239	YFL066C	-	YFL063W	+
VI	StringTie	transcript	5872	6180	-	MSTRG.240	YFL063W	+	YFL062W	+
VI	StringTie	transcript	16062	16274	-	MSTRG.241	YFL056C	-	YFL055W	+
VI	StringTie	transcript	19055	20556	+	MSTRG.242	YFL055W	+	YFL054C	-
VI	StringTie	transcript	23364	27901	-	MSTRG.243	YFL054C	-	YFL052W	+
VI	StringTie	transcript	28408	28921	-	MSTRG.244	YFL052W	+	YFL051C	-
VI	StringTie	transcript	29756	31220	+	MSTRG.245	YFL052W	+	NA	NA
VI	StringTie	transcript	31498	32868	+	MSTRG.246	YFL051C	-	YFL050C	-
VI	StringTie	transcript	36193	36581	-	MSTRG.247	YFL050C	-	YFL049W	+
VI	StringTie	transcript	51464	52959	-	MSTRG.248	YFL040W	+	YFL039C	-
VI	StringTie	transcript	55005	55332	.	MSTRG.249	YFL039C	-	YFL038C	-
VI	StringTie	transcript	76223	76563	+	MSTRG.250	YFL031C-A	-	YFL030W	+
VI	StringTie	transcript	83926	84207	+	MSTRG.251	YFL026W	+	NA	NA
VI	StringTie	transcript	97628	97966	-	MSTRG.252	YFL021W	+	YFL020C	-
VI	StringTie	transcript	98241	98951	+	MSTRG.253	YFL021W	+	YFL020C	-
VI	StringTie	transcript	110189	110506	+	MSTRG.254	YFL012W-A	+	YFL012W	+
VI	StringTie	transcript	110509	111953	-	MSTRG.255	YFL012W-A	+	YFL011W	+
VI	StringTie	transcript	114131	114592	-	MSTRG.256	YFL011W	+	YFL010W-A	+
VI	StringTie	transcript	193494	193834	+	MSTRG.257	YFR020W	+	YFR021W	+
VI	StringTie	transcript	245543	245972	-	MSTRG.258	YFR047C	-	YFR048W	+
VI	StringTie	transcript	251933	252268	-	MSTRG.259	YFR051C	-	YFR052W	+
VI	StringTie	transcript	255808	256079	+	MSTRG.260	YFR053C	-	NA	NA
VI	StringTie	transcript	256175	257222	+	MSTRG.261	YFR053C	-	NA	NA
VI	StringTie	transcript	261712	263948	-	MSTRG.262	NA	NA	YFR056C	-
VI	StringTie	transcript	265248	265614	+	MSTRG.263	YFR055W	+	NA	NA
VI	StringTie	transcript	266303	268759	+	MSTRG.264	YFR055W	+	YFR057W	+
VII	StringTie	transcript	368	573	+	MSTRG.265	NA	NA	NA	NA
VII	StringTie	transcript	10183	10921	+	MSTRG.266	YGL258W-A	+	YGL258W	+
VII	StringTie	transcript	19674	19925	-	MSTRG.267	NA	NA	YGL255W	+
VII	StringTie	transcript	27896	30173	+	MSTRG.268	YGL252C	-	NA	NA
VII	StringTie	transcript	63781	63996	+	MSTRG.269	YGL230C	-	YGL229C	-
VII	StringTie	transcript	73939	74811	-	MSTRG.270	tV(AAC)G3	-	NA	NA
VII	StringTie	transcript	89646	89978	+	MSTRG.271	YGL215W	+	YGL214W	+
VII	StringTie	transcript	94470	95684	-	MSTRG.272	YGL210W	+	YGL209W	+
VII	StringTie	transcript	150526	150653	-	MSTRG.273	YGL187C	-	YGL186C	-
VII	StringTie	transcript	154201	154402	+	MSTRG.274	YGL185C	-	YGL184C	-
VII	StringTie	transcript	156821	157049	+	MSTRG.275	YGL183C	-	YGL182C	-
VII	StringTie	transcript	159106	159677	-	MSTRG.276	YGL181W	+	YGL180W	+
VII	StringTie	transcript	165144	166543	-	MSTRG.277	YGL179C	-	YGL178W	+
VII	StringTie	transcript	190581	190888	-	MSTRG.278	YGL167C	-	YGL166W	+
VII	StringTie	transcript	193482	193685	+	MSTRG.279	YGL164C	-	YGL163C	-
VII	StringTie	transcript	197595	197981	-	MSTRG.280	YGL163C	-	YGL162W	+
VII	StringTie	transcript	272595	272809	-	MSTRG.281	YGL125W	+	NA	NA
VII	StringTie	transcript	323350	325052	-	MSTRG.282	YGL097W	+	YGL096W	+
VII	StringTie	transcript	326260	326618	+	MSTRG.283	YGL096W	+	NA	NA
VII	StringTie	transcript	344731	345257	+	MSTRG.284	YGL090W	+	YGL088W	+
VII	StringTie	transcript	345291	345733	-	MSTRG.285	YGL089C	-	YGL088W	+
VII	StringTie	transcript	412970	413199	-	MSTRG.286	tV(AAC)G1	-	YGL045W	+
VII	StringTie	transcript	420927	421385	+	MSTRG.287	YGL040C	-	NA	NA
VII	StringTie	transcript	422090	422918	+	MSTRG.288	NA	NA	tL(CAA)G2	+
VII	StringTie	transcript	433064	435125	+	MSTRG.289	YGL035C	-	YGL033W	+
VII	StringTie	transcript	483270	485096	-	MSTRG.290	YGL007W	+	YGL006W-A	+
VII	StringTie	transcript	523007	523573	-	MSTRG.291	YGR016W	+	YGR017W	+
VII	StringTie	transcript	524833	525209	-	MSTRG.292	YGR018C	-	YGR019W	+
VII	StringTie	transcript	531305	531504	-	MSTRG.293	YGR023W	+	tD(GUC)G1	+
VII	StringTie	transcript	577488	579324	-	MSTRG.294	YGR041W	+	YGR042W	+
VII	StringTie	transcript	581918	582847	+	MSTRG.295	YGR043C	-	YGR044C	-
VII	StringTie	transcript	609196	609521	-	MSTRG.296	YGR059W	+	snR48	+
VII	StringTie	transcript	620084	621775	+	MSTRG.297	YGR065C	-	YGR067C	-
VII	StringTie	transcript	659896	661673	-	MSTRG.298	YGR089W	+	tT(UGU)G1	+
VII	StringTie	transcript	677566	678350	-	MSTRG.299	YGR096W	+	YGR097W	+
VII	StringTie	transcript	700091	700433	+	MSTRG.300	YGR106C	-	tL(GAG)G	+
VII	StringTie	transcript	702140	702653	+	MSTRG.301	tK(UUU)G2	-	YGR107W	+
VII	StringTie	transcript	715283	715800	-	MSTRG.302	YGR110W	+	YGR111W	+
VII	StringTie	transcript	731350	733147	+	MSTRG.303	tN(GUU)G	+	YGR121W-A	+
VII	StringTie	transcript	733278	733533	-	MSTRG.304	YGR121C	-	YGR122W	+
VII	StringTie	transcript	738446	739056	+	MSTRG.305	YGR123C	-	tI(AAU)G	+
VII	StringTie	transcript	741709	742103	.	MSTRG.306	YGR124W	+	YGR125W	+
VII	StringTie	transcript	754091	754625	-	MSTRG.307	YGR130C	-	YGR131W	+
VII	StringTie	transcript	765936	767040	-	MSTRG.308	YGR139W	+	YGR140W	+
VII	StringTie	transcript	774449	774826	-	MSTRG.309	tA(AGC)G	+	YGR143W	+
VII	StringTie	transcript	778290	778521	+	MSTRG.310	YGR143W	+	tG(UCC)G	+
VII	StringTie	transcript	779830	780119	+	MSTRG.311	tG(UCC)G	+	YGR144W	+
VII	StringTie	transcript	788426	788963	-	MSTRG.312	YGR148C	-	YGR149W	+
VII	StringTie	transcript	810584	811120	-	MSTRG.313	YGR161W-C	+	YGR161W-B	+
