# Program:featureCounts v2.0.6; Command:"featureCounts" "-t" "transcript" "-g" "gene_id" "-O" "-s" "2" "-R" "BAM" "-p" "--ignoreDup" "--fraction" "-G" "Saccharomyces_cerevisiae.R64-1-1.106.fa" "-T" "4" "-p" "--countReadPairs" "-a" "aymerge.no_LTR.NO_ref_genes.gtf" "-o" "read_counts_aymerge.txt" "./BAM/AY10_S10_L001.sorted.dedup.bam" "./BAM/AY11_S11_L001.sorted.dedup.bam" "./BAM/AY12_S12_L001.sorted.dedup.bam" "./BAM/AY1_S1_L001.sorted.dedup.bam" "./BAM/AY2_S2_L001.sorted.dedup.bam" "./BAM/AY31_S1_L001.sorted.dedup.bam" "./BAM/AY32_S2_L001.sorted.dedup.bam" "./BAM/AY33_S3_L001.sorted.dedup.bam" "./BAM/AY34_S4_L001.sorted.dedup.bam" "./BAM/AY35_S5_L001.sorted.dedup.bam" "./BAM/AY36_S6_L001.sorted.dedup.bam" "./BAM/AY37_S7_L001.sorted.dedup.bam" "./BAM/AY38_S8_L001.sorted.dedup.bam" "./BAM/AY39_S9_L001.sorted.dedup.bam" "./BAM/AY3_S3_L001.sorted.dedup.bam" "./BAM/AY40_S10_L001.sorted.dedup.bam" "./BAM/AY41_S11_L001.sorted.dedup.bam" "./BAM/AY42_S12_L001.sorted.dedup.bam" "./BAM/AY4_S4_L001.sorted.dedup.bam" "./BAM/AY5_S5_L001.sorted.dedup.bam" "./BAM/AY6_S6_L001.sorted.dedup.bam" "./BAM/AY7_S7_L001.sorted.dedup.bam" "./BAM/AY8_S8_L001.sorted.dedup.bam" "./BAM/AY9_S9_L001.sorted.dedup.bam" 
Geneid	Chr	Start	End	Strand	Length	./BAM/AY10_S10_L001.sorted.dedup.bam	./BAM/AY11_S11_L001.sorted.dedup.bam	./BAM/AY12_S12_L001.sorted.dedup.bam	./BAM/AY1_S1_L001.sorted.dedup.bam	./BAM/AY2_S2_L001.sorted.dedup.bam	./BAM/AY31_S1_L001.sorted.dedup.bam	./BAM/AY32_S2_L001.sorted.dedup.bam	./BAM/AY33_S3_L001.sorted.dedup.bam	./BAM/AY34_S4_L001.sorted.dedup.bam	./BAM/AY35_S5_L001.sorted.dedup.bam	./BAM/AY36_S6_L001.sorted.dedup.bam	./BAM/AY37_S7_L001.sorted.dedup.bam	./BAM/AY38_S8_L001.sorted.dedup.bam	./BAM/AY39_S9_L001.sorted.dedup.bam	./BAM/AY3_S3_L001.sorted.dedup.bam	./BAM/AY40_S10_L001.sorted.dedup.bam	./BAM/AY41_S11_L001.sorted.dedup.bam	./BAM/AY42_S12_L001.sorted.dedup.bam	./BAM/AY4_S4_L001.sorted.dedup.bam	./BAM/AY5_S5_L001.sorted.dedup.bam	./BAM/AY6_S6_L001.sorted.dedup.bam	./BAM/AY7_S7_L001.sorted.dedup.bam	./BAM/AY8_S8_L001.sorted.dedup.bam	./BAM/AY9_S9_L001.sorted.dedup.bam
MSTRG.50	II	804626	804880	-	255	41	22	25	38	87	51	34	52	49	86	55	83	44	62	33	52	53	38	39	76	67	69	80	26
MSTRG.51	II	807367	808588	+	1222	43	117	201	49	121	67	97	73	126	93	134	78	113	74	99	212	84	146	112	93	94	126	192	40
MSTRG.52	III	4742	5410	+	669	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
MSTRG.53	III	5729	7641	+	1913	2	3	7	3	6	3	6	2	5	4	2	5	3	3	5	8	3	4	6	3	6	7	12	2
MSTRG.54	III	8007	8439	+	433	0	0	0	0	1	0	0	2	3	1	1	1	0	2	0	0	0	1	0	2	3	1	4	0
MSTRG.55	III	9308	10891	-	1584	0	0	0	0	2	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	2	0	0
MSTRG.56	III	13723	14019	-	297	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0
MSTRG.57	III	29751	30211	+	461	14	4	9	4	31	7	18	12	19	9	5	6	8	8	19	6	17	8	17	5	6	8	9	3
MSTRG.58	III	112768	113080	-	313	3	3	6	2	5	5	6	8	9	12	14	9	9	11	5	16	12	9	8	12	5	12	5	2
MSTRG.59	III	113368	114131	-	764	21	13	18	17	51	14	8	21	21	33	13	28	21	25	16	21	29	13	16	24	31	27	23	9
MSTRG.60	III	114690	117168	+	2479	24	24	59	19	63	28	41	26	44	40	37	38	36	38	34	57	45	49	51	34	32	39	44	16
MSTRG.61	III	125318	126002	+	685	37	36	61	21	56	45	50	53	66	61	58	57	61	52	49	95	64	62	53	61	30	51	54	11
MSTRG.62	III	127150	127532	-	383	4	5	2	2	12	13	6	3	5	13	11	12	15	9	4	12	13	8	1	10	14	14	13	4
MSTRG.63	III	152043	152828	-	786	19	19	21	15	44	22	14	23	16	34	32	54	29	26	18	29	40	15	14	31	27	32	31	10
MSTRG.64	III	157720	162023	+	4304	240	117	170	153	564	517	151	655	209	1019	586	1075	561	708	110	257	687	180	127	540	327	337	453	173
MSTRG.65	III	168411	169546	+	1136	78	587	881	35	82	57	333	48	446	15	15	9	12	163	347	993	162	862	333	24	11	22	13	51
MSTRG.66	III	176679	176890	-	212	4	5	18	8	22	16	11	13	17	16	19	27	14	13	8	18	13	8	8	23	13	16	11	9
MSTRG.67	III	178907	179144	-	238	6	5	6	2	6	5	0	3	5	13	9	8	5	8	2	5	2	1	2	6	5	7	3	4
MSTRG.68	III	262867	263192	-	326	3	1	8	1	8	6	5	8	2	7	3	7	7	8	4	6	4	5	4	5	6	5	13	6
MSTRG.69	III	290803	291238	+	436	28	25	31	33	65	44	36	46	38	54	44	50	59	60	28	46	59	26	31	65	32	51	78	18
MSTRG.70	III	294338	294591	-	254	2	2	1	2	4	5	6	9	5	19	9	13	10	14	3	9	11	8	5	10	6	8	19	0
MSTRG.71	III	298500	299679	+	1180	29	41	42	22	82	37	30	48	40	61	77	65	48	52	26	61	37	47	23	57	32	61	71	20
MSTRG.72	III	300311	300575	+	265	3	4	5	3	4	5	4	5	1	12	8	11	2	7	3	6	3	5	1	8	8	6	9	4
MSTRG.73	III	303109	304298	+	1190	10	16	25	11	35	10	12	16	30	27	27	24	25	14	20	21	20	15	15	28	15	32	22	11
MSTRG.74	III	305985	306548	+	564	25	19	34	27	49	32	69	36	92	15	15	7	10	36	55	32	37	38	64	13	9	13	23	14
MSTRG.75	III	308267	310299	-	2033	197	153	277	101	386	240	234	304	206	569	463	502	465	403	140	427	452	307	167	416	396	466	655	143
MSTRG.76	IV	4175	8308	-	4134	51	64	81	50	120	82	101	84	129	120	169	142	116	103	72	127	93	100	93	124	108	125.50	184	29
MSTRG.77	IV	10988	15231	-	4244	0	3	1	1	0	1	1	1	1	1	1	0	2	2	1	1	5	1	2	3	0	3	4	0
MSTRG.78	IV	18617	20125	-	1509	106	109	182	91	265	196	243	212	331.50	323	274	309	245	216	214	296	239	186	185	243	202	223	348	96
MSTRG.79	IV	21435	21838	+	404	10	3	8	11	35	7	11	12	13	21	17	17	10	7	7	15	19	8	9	25	23	15	27	2
MSTRG.80	IV	26115	26365	+	251	5	14	16	3	16	14	20	19	18	12	15	16	13	11	10	19	13	15	13	9	9	14	19	1
MSTRG.81	IV	48328	49732	-	1405	27	556	884	15	30	21	98	23	205	24	28.50	31	26	42	108	1339	51	967	123	23	13	28	31	20
MSTRG.82	IV	49796	50918	+	1123	176	14	20	102	303	251	100	183	137	247	183	240	170	217	82	24	293	22	87	230	154	175	168	108
MSTRG.83	IV	80794	83355	+	2562	52	51	64	46	97	62	71	45	108	93	95	122	97	77	94	94	92	60	78	91	82	96	123	37
MSTRG.84	IV	106534	106949	-	416	17	21	19	16	41	24	16	19	27	32	40	34	38	28	22	24	44	19	21	43	28	39	73	9
MSTRG.85	IV	115791	116063	-	273	10	2	5	5	7	10	6	4	9	9	9	10	7	8	9	7	8	4	8	2	2	11	3	7
MSTRG.86	IV	132455	132737	-	283	14	7	11	7	18	10	8	10	7	32	30	34	33	14	4	12	15	8	6	29	25	51	57	9
MSTRG.87	IV	171962	172204	-	243	678	506	777	476	1057	1134	950	1002	980	1466	1100	1519	1073	1227	451	1343	1504	983	550	950	733	752	1022	420
MSTRG.88	IV	220824	221784	.	961	620	513	851	663	1686	1017	878	1019	1101.50	1530	1151.50	1357	1053	1043	655	1128	1059	853	736	1296	1270	975.50	1175	469
MSTRG.89	IV	221992	222270	-	279	10	44	75	11	27	32	79	30	103	43	52	47	20	39	58	135	28	83	82	29	10	15	26	9
MSTRG.90	IV	234176	234403	-	228	1	1	3	3	1	1	0	0	1	4	9	7	5	0	2	5	1	0	3	8	4	11	11	0
MSTRG.91	IV	267659	267981	-	323	5	7	5	4	3	13	15	9	20	10	17	10	12	5	4	14	11	7	6	11	3	11	12	5
MSTRG.92	IV	292353	292632	-	280	4	4	5	3	3	13	4	16	7	19	8	18	20	12	4	6	14	7	2	3	9	7	14	1
MSTRG.93	IV	312804	314046	+	1243	68	43	60	64	165	78	46	104	63	117	90	110	94	88	49	97	100	51	48	122	108	104	122	42
MSTRG.94	IV	321656	321883	+	228	2	1	5	2	3	3	5	2	3	10	9	6	9	7	0	6	6	5	2	6	8	8	5	1
MSTRG.95	IV	358117	358902	-	786	14	9	14	9	20	15	3	19	6	25	18	28	21	21	11	17	29	12	7	25	12	20	42	9
MSTRG.96	IV	407799	408186	+	388	13	16	19	20	31	23	11	21	22	18	36	29	18	25	24	22	28	17	21	23	23	44	30	10
MSTRG.97	IV	410722	411448	-	727	11	3	15	6	31	15	12.50	14	16	31	13	18	18	10	19	28	15	8	22	15	7	12	13	5
MSTRG.98	IV	431788	432023	+	236	3	3	3	2	7	3	6	6	5	6	10	2	4	7	4	1	4	6	3	7	10	11	8	3
MSTRG.99	IV	439364	439667	-	304	24	30	40	13	40	22	22	25	16	48	35	48	45	28	26	19	29	14	32	41	52	66	83	24
MSTRG.100	IV	470703	471523	-	821	13	6	8	6	32	13	10	15	6	28	23	26	25	17	13	13	15	7	21	23	16	28	26	5
MSTRG.101	IV	476825	477287	+	463	3	2	1	2	4	3	5	3	3	13	3	5	5	6	4	3	7	4	2	7	4	12	11	3
MSTRG.102	IV	505448	507843	-	2396	62	49	80	50	135	86	68	68	87	136	128	141	96	81	41	115	101	67	55	118	82	78	104	48
MSTRG.103	IV	538977	539602	-	626	13	14	20	4	27	10	19	13	29	29	31	23	35	15	20	33	12	24	29	23	26	47	76	7
MSTRG.104	IV	543626	545959	+	2334	52	53	76	44	120	81	69	79	75	93	68	97	77	89	55	117	124	103	57	70	42	64	73	34
MSTRG.105	IV	550738	551834	-	1097	14	7	18	14	30	34	6	34	10	47	33	42	20	35	4	17	40	17	4	22	24	18	27	11
MSTRG.106	IV	593146	593457	-	312	4	9	20	8	24	9	11	11	9	11	12	14	1	6	16	6	10	7	13	22	17	23	22	4
MSTRG.107	IV	598208	600416	-	2209	100	79	134	64	187	116	77	116	82	169	165	178	133	154	85	135	178	99	83	153	124	139	190	85
MSTRG.108	IV	616585	616810	.	226	181	66	101	198	489	236	168.50	210	187	271	201	268	188	196	197	98	206	68	208	340	280	230	270	127
MSTRG.109	IV	617687	618416	+	730	25	110	176	21	60	39	93	32	117	39	47	30	41	60	98	180	46	159	102	33	18	46	24	16
MSTRG.110	IV	620271	621706	-	1436	16	22	29	19	31	15	29	24	37	27	30	43	32	45	26	32	25	27	34	36	16	32	45	10
MSTRG.111	IV	720347	720912	+	566	14	12	21	16	36	14	12	19	20	37	22	27	19	11	26	21	21	11	21	35	21	23	25	15
MSTRG.112	IV	794877	795887	-	1011	19	21	25	15	23	17	37	24	43	38	40	37	37	25	27	30	20	42	25	36	54	32	53	8
MSTRG.113	IV	814321	814582	-	262	7	3	9	1	17	7	6	11	6	11	12	15	10	9	5	10	12	2	3	7	7	10	11	4
MSTRG.114	IV	835837	836072	+	236	6	11	18	4	6	9	10	3	15	13	18	11	11	6	9	10	6	10	12	11	8	21	22	3
MSTRG.115	IV	892129	892438	-	310	30	19	45	17	63	69	26	51	36	109	71	91	56	67	15	46	72	41	21	50	34	25	40	22
MSTRG.116	IV	903819	905115	+	1297	12	45	46	4	16	23	45	16	53	50	47	37	47	25	30	67	27	50	29	30	19	43	41	2
MSTRG.117	IV	916062	916298	-	237	6	3	4	4	13	3	9	1	4	6	7	7	1	7	6	2	11	3	7	11	4	9	4	2
MSTRG.118	IV	968057	969746	+	1690	70	40	83	75	168	86	71	103	91	147	114	149	118	151	53	125	160	78	70	143	158	151	181	52
MSTRG.119	IV	976292	976694	+	403	4	8	13	5	12	6	19	10	22	30	22	30	16	14	23	14	11	11	22	24	8	29	13	6
MSTRG.120	IV	979560	980168	+	609	20	20	30	10	36	23	31	11	53	11	20	16	9	10	41	41	23	19	42	19	9	9	13	7
MSTRG.121	IV	980277	980946	-	670	50	45	56	45	128	70	74	85	69	122	92	97	73	89	35	95	80	71	45	71	58	58	58	24
MSTRG.122	IV	1015967	1017000	-	1034	5	6	1	2	2	4	28	3	84	6	9	7	4	8	56	14	3	7	54	7	2	7	5	1
MSTRG.123	IV	1017369	1018981	-	1613	23	69	41	105	70	208	38	37	171	148	123	44	46	188	75	253	59	37	28	103	30	73	36	65
MSTRG.124	IV	1022407	1023045	-	639	4	252	346	6	1	3	99	5	205	10	5	9	4	7	93	469	14	360	82	9	5	9	9	2
MSTRG.125	IV	1031937	1032183	+	247	7	11	13	5	14	15	17	14	18	29	19	30	22	24	12	21	17	22	17	27	17	19	30	5
MSTRG.126	IV	1080821	1081112	+	292	5	12	15	1	7	2	6	6	0	2	4	8	3	5	5	7	9	6	10	0	2	7	3	0
MSTRG.127	IV	1156583	1159387	-	2805	11	8	21	18	29	19	10	19	29	69	28	60	35	17	21	24	23	17	24	55	26	76	46	13
MSTRG.128	IV	1162432	1162937	+	506	34	26	67	24	51	27	54	32	73	69	72	41	43	46	60	84	47	64	61	47	58	58	77	20
MSTRG.129	IV	1165456	1166145	+	690	9	10	25	16	30	17	18	12	11	38	35	34	21	20	9	34	25	31	15	17	13	24	17	9
MSTRG.130	IV	1174480	1174889	+	410	46	42	64	41	94	63	67	60	82	67	91	103	88	67	57	106	87	68	60	91	46	73	60	22
MSTRG.131	IV	1273588	1273855	+	268	2	6	7	3	3	0	10	6	10	8	6	18	9	12	4	15	11	9	6	7	4	7	8	2
MSTRG.132	IV	1273914	1274299	-	386	7	2	2	9	12	6	6	4	3	19	24	24	30	22	12	5	12	9	13	19	17	28	32	4
MSTRG.133	IV	1302311	1302612	+	302	6	0	8	9	12	14	1	7	5	36	9	34	20	14	2	5	18	11	2	18	11	18	31	6
MSTRG.134	IV	1411566	1411822	+	257	11	6	12	8	31	5	9	15	9	19	21	19	17	6	9	8	16	5	10	18	15	25	16	5
MSTRG.135	IV	1459625	1461611	+	1987	51	23	49	24	81	52	40	63	54	123	145	128	122	79	54	102	102	78	48	75	91	120	197	25
MSTRG.136	IV	1466234	1466452	-	219	1077	912	1187	821	1750	1474	973	1450	982	2111	1808	2056	1923	1672	633	1631	2035	1368	714	2080	1687	1995	2869	886
MSTRG.137	IV	1483712	1485567	+	1856	79	74	122	53	157	115	82	115	105	235	207	190	200	156	94	150	171	105	70	191	144	209	306	60
MSTRG.138	IV	1493368	1493758	+	391	3	0	4	3	2	4	7	10	4	14	9	16	20	8	3	5	11	11	3	16	7	6	23	2
MSTRG.139	IV	1500650	1501407	+	758	26	43	73	34	64	29	42	41	54	70	55	55	54	40	42	47	49	39	62	53	59	85	104	22
MSTRG.140	IV	1506901	1507403	+	503	8	8	24	2	25	7	10	3	12	10	7	6	5	8	12	25	9	19	13	3	1	8	13	5
MSTRG.141	IV	1507754	1509793	-	2040	164	108	196	108	354	220	142	167	201	431	360	384	323	218	148	206	269	183	159	339	385	420	702	98
MSTRG.142	IV	1514175	1515657	-	1483	16	9	38	17	40	40	58	32	79	64	59	58	52	44	80	47	38	37	78	57	43	68	76	16
MSTRG.143	IV	1518114	1518314	+	201	1	4	4	1	0	2	28	1	41	2	0	2	2	3	28	6	1	2	25	4	2	4	3	0
MSTRG.144	IV	1521095	1522648	+	1554	15	29	55	25	44	28	38	28	48	49	59	43	37	33	37	57	34	38	37	33	43	64	68	10
MSTRG.145	IX	2295	6948	+	4654	1	11	12	0	2	1	6	2	7	4	3	0.50	2	0	4	10	0	9	7	1	3	1	3	1
MSTRG.146	IX	20997	21727	-	731	0	0	0	0	0	0	0	0	2	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0
MSTRG.147	IX	22599	23553	+	955	0	0	1	0	0	0	2	2	3	0	0	1	0	2	1	2	1	0	2	0	2	0	1	0
MSTRG.148	IX	29621	30113	+	493	10	10	9	6	23	6	6	9	12	8	11	5	4	11	10	8	13	6	10	8	21	15	12	1
MSTRG.149	IX	34708	37212	+	2505	63	67	120	75	189.50	89	146	101	186	164	173	124	128	142	111	164	141	132	115	140	135	159	220	48
MSTRG.150	IX	96815	97094	-	280	7	2	6	7	16	12	10	17	9	24.50	20	19	21	15	8	18	16	6	9	17	12	24	27	6
MSTRG.151	IX	142462	142908	-	447	3	3	4	3	11	2	2	7	10	16	17	8	13	10	2	6	6	11	8	7	6	10	16	3
MSTRG.152	IX	173850	174936	+	1087	28	33	59	33	74	31.50	31	30	64	51	55	63	48	49	29	58	33	40	35	41	49	59	65	20
MSTRG.153	IX	216152	216504	-	353	75	78	104	51	154	96	108	85	129	145	130	153	119	98	80	145	148	112	104	105	105	114	139	35
MSTRG.154	IX;IX;IX	222839;222846;222846	226539;226539;226539	+;+;+	3701	228	164	268.50	207	513.50	322.50	251	324	289	555	410	510.50	370	391	201	392	450	264	270.50	503	393	399	546	139
MSTRG.155	IX	258405	258628	-	224	2	0	2	0	3	4	4	5	10	6	8	16	7	3	8	6	5	3	6	3	8	5	9	1
MSTRG.156	IX	261021	261271	-	251	5	4	4	0	3	9	0	3	8	11	9	6	4	7	1	7	1	5	5	4	2	7	4	2
MSTRG.157	IX	283145	284821	+	1677	21	2	6	18	50	28	27	27	41	55	61	62	51	24	26	15	43	8	37	66	46	54	67	16
